    # time       flux      error   full_mod    gp*base    transit   det_flux
8209.755411   0.997209   0.001033   0.997049   1.008122   0.989017   0.989175
8209.756096   0.996617   0.001032   0.997274   1.008286   0.989078   0.988427
8209.756773   0.999816   0.001045   0.997841   1.008795   0.989141   0.991099
8209.757453   0.995943   0.001051   0.997484   1.008368   0.989207   0.987679
8209.758132   0.996999   0.001061   0.997583   1.008400   0.989274   0.988694
8209.758800   1.000057   0.001065   0.997814   1.008563   0.989342   0.991566
8209.759472   0.996946   0.001071   0.997565   1.008239   0.989413   0.988799
8209.760145   0.997604   0.001081   0.997547   1.008146   0.989487   0.989544
8209.760822   0.998019   0.001091   0.998206   1.008733   0.989564   0.989379
8209.761494   0.997837   0.001091   0.997963   1.008407   0.989643   0.989518
8209.762166   0.997380   0.001101   0.997828   1.008187   0.989726   0.989281
8209.762844   0.996647   0.001109   0.997978   1.008250   0.989812   0.988492
8209.763522   0.999672   0.001123   0.998009   1.008190   0.989902   0.991551
8209.764191   0.997870   0.001131   0.998298   1.008388   0.989994   0.989569
8209.764862   0.993825   0.001136   0.997966   1.007954   0.990091   0.985983
8209.765534   0.999469   0.001143   0.998724   1.008617   0.990192   0.990930
8209.766205   0.999387   0.001152   0.998965   1.008752   0.990298   0.990717
8209.766878   0.996785   0.001159   0.999154   1.008828   0.990410   0.988062
8209.767553   0.999630   0.001173   0.999103   1.008656   0.990529   0.991051
8209.768228   0.996346   0.001179   0.999171   1.008596   0.990655   0.987855
8209.768902   1.003372   0.001198   0.999255   1.008543   0.990791   0.994873
8209.769580   1.001285   0.001206   0.999361   1.008501   0.990938   0.992845
8209.770256   0.999030   0.001213   0.999591   1.008550   0.991117   0.990560
8209.770928   0.995505   0.001219   0.999867   1.008563   0.991379   0.987053
8209.771598   1.001611   0.001238   1.000153   1.008540   0.991685   0.993130
8209.772274   1.000663   0.001247   1.000293   1.008335   0.992025   0.992392
8209.772951   1.002928   0.001260   1.000808   1.008484   0.992388   0.994491
8209.773624   1.001221   0.001269   1.001225   1.008520   0.992767   0.992763
8209.774295   1.002694   0.001281   1.001699   1.008601   0.993157   0.994144
8209.774974   1.000262   0.001289   1.001992   1.008485   0.993562   0.991846
8209.775651   1.003141   0.001304   1.002156   1.008234   0.993971   0.994948
8209.776321   0.999534   0.001310   1.002531   1.008197   0.994380   0.991408
8209.776993   1.002867   0.001325   1.003153   1.008405   0.994791   0.994508
8209.777662   1.004321   0.001338   1.003592   1.008433   0.995199   0.995922
8209.778336   1.004848   0.001350   1.003711   1.008140   0.995607   0.996734
8209.779006   1.003747   0.001360   1.004209   1.008235   0.996007   0.995549
8209.779675   1.000837   0.001367   1.004662   1.008293   0.996399   0.992606
8209.780352   1.001728   0.001391   1.004918   1.008157   0.996787   0.993623
8209.781027   1.006763   0.001409   1.005342   1.008202   0.997163   0.998573
8209.781711   1.004147   0.001417   1.005582   1.008071   0.997531   0.996108
8209.782374   1.008349   0.001434   1.005811   1.007955   0.997873   1.000391
8209.783051   1.006421   0.001443   1.006086   1.007894   0.998206   0.998539
8209.783728   1.000325   0.001457   1.006563   1.008055   0.998520   0.992332
8209.784398   1.006091   0.001478   1.006667   1.007866   0.998810   0.998239
8209.785070   1.006331   0.001489   1.007037   1.007965   0.999079   0.998379
