# time-2457000 flux       flux_err   x_off      y_off      roll       bg         contam     deltaT    
2408.64361964 1.00019310 0.00013183 -0.41259849 0.31241760 4.62323849 0.00626030 0.80327873 0.18356323
2408.64403717 1.00033557 0.00013183 -0.35367054 -0.03140051 1.78563073 0.00770422 0.65187681 0.21350098
2408.64445470 1.00010843 0.00013182 0.11992487 0.08995022 -1.04836313 0.00867698 0.63817779 0.24349976
2408.64487224 0.99997615 0.00013181 -0.30501387 0.09021929 -3.85340181 0.01224817 0.63698083 0.20352173
2408.64528977 0.99999046 0.00013181 -0.74471396 0.00314812 -6.64632921 0.01703788 0.50880857 0.18356323
2408.64570729 1.00035362 0.00013184 -0.22991592 -0.00519306 -9.40557686 0.01991445 0.30211672 0.20352173
2408.64612483 1.00008143 0.00013183 0.04975716 0.47811112 -12.13601516 0.02543719 0.59769538 0.18356323
2408.64654236 0.99994010 0.00013182 -0.80267346 0.10835464 -14.83636388 0.02641064 0.39306205 0.18356323
2408.64695989 1.00001489 0.00013183 -0.05911872 0.44453114 -17.48652349 0.02954338 0.45323183 0.20352173
2408.64737742 0.99949626 0.00013180 -0.05260378 0.50055158 -20.11669034 0.02928508 0.63372650 0.18356323
2408.64779496 0.99993321 0.00013181 -0.46055084 -0.14667025 -22.67440089 0.03339080 0.08119608 0.20352173
2408.64821249 0.99950064 0.00013179 -0.52798933 -0.04641464 -25.21380982 0.03376298 0.16650878 0.18356323
2408.64863002 0.99970211 0.00013181 -0.73447198 0.33356652 -27.68479257 0.03574131 0.33322142 0.18356323
2408.64904755 0.99952723 0.00013180 0.07458438 0.07864927 -30.12275651 0.04153408 0.40217059 0.18356323
2408.64946509 0.99994280 0.00013183 -0.61828882 0.23105071 -32.50986829 0.03977614 0.27978749 0.20352173
2408.64988262 0.99963214 0.00013180 -0.32086104 0.22739136 -34.84501029 0.03534897 0.13294604 0.18356323
2408.65030015 0.99962724 0.00013180 -0.75968069 0.10469528 -37.14824443 0.03858976 0.26799582 0.19354248
2408.65071768 0.99973911 0.00013181 -0.06231750 0.04044127 -39.38248637 0.03936473 0.36914032 0.20352173
2408.65113522 0.99989619 0.00013182 -0.42166659 0.36009687 -41.59858332 0.03847884 0.27008196 0.18356323
2408.65155275 0.99967632 0.00013181 -0.07341052 -0.34244585 -43.74215438 0.04163544 0.31656659 0.18356323
2408.65197028 0.99961988 0.00013181 -0.11323385 0.53230190 -45.86400829 0.04048630 0.38953928 0.18356323
2408.65238781 0.99971308 0.00013181 -0.49782100 0.52546751 -47.93430414 0.03894011 0.21948314 0.20352173
2408.65280535 0.99955921 0.00013180 0.06369679 -0.31306335 -49.96941750 0.03360958 0.49414055 0.20352173
2408.65322288 0.99991623 0.00013182 0.06525216 0.29944840 -51.97235066 0.02993742 0.56693459 0.18356323
2408.65364041 0.99992757 0.00013182 -0.75982744 0.34136957 -53.92911081 0.02937441 0.38592564 0.18356323
2408.65405794 0.99988336 0.00013182 -0.53068918 0.17013319 -55.87032707 0.03044722 0.41285406 0.20352173
2408.65447547 0.99992337 0.00013182 -0.62583089 0.13224809 -57.75786263 0.02868390 0.34478662 0.20352173
2408.65489300 0.99993423 0.00013182 -0.21811859 -0.06492668 -59.63423277 0.02901897 0.46600564 0.20352173
2408.65531054 0.99991008 0.00013184 -0.88848293 0.31666890 -61.47178194 0.04898047 0.44449422 0.20352173
2408.65572807 0.99989699 0.00013182 -0.15701897 0.21135476 -63.29141801 0.03398697 0.40863308 0.20352173
2408.65614560 0.99979612 0.00013181 -0.15472993 0.03059330 -65.08699683 0.03233288 0.37652381 0.20352173
2408.65656313 0.99976305 0.00013181 0.11373274 0.41342661 -66.85962260 0.03083806 0.55033205 0.20352173
2408.65698067 0.99988901 0.00013182 -0.63695323 -0.09038074 -68.62003950 0.03060022 0.58757673 0.20352173
2408.65739820 0.99984630 0.00013182 -0.09019677 0.31144893 -70.35506177 0.02850656 0.57759752 0.23348999
2408.65781573 0.99988839 0.00013182 -0.04570733 0.59843940 -72.08427308 0.02836309 0.54321831 0.20352173
2408.65823326 1.00012222 0.00013183 -0.38410294 0.01127405 -73.79354359 0.02742326 0.39842039 0.20352173
2408.65865080 1.00007796 0.00013183 -0.00702851 0.34933406 -75.49759643 0.02750961 0.59297019 0.20352173
2408.65906833 0.99996924 0.00013182 -0.44367653 -0.20753397 -77.19097360 0.02644081 0.53794632 0.18356323
2408.65948586 1.00007495 0.00013183 -0.74852902 0.30413023 -78.87909790 0.02694536 0.49787624 0.18356323
2408.65990339 0.99991960 0.00013182 -0.40898886 0.14715458 -80.56297992 0.02440952 0.54040932 0.20352173
2408.66032093 1.00036661 0.00013185 -0.09882467 0.46508813 -82.24446494 0.02533533 0.70308764 0.22348022
2408.66073846 1.00028272 0.00013184 -0.19572714 0.10910803 -83.92527204 0.02439105 0.55290158 0.20352173
2408.66115598 1.00022658 0.00013184 -0.48479113 0.13203283 -85.60894844 0.02551768 0.41529433 0.20352173
2408.66157352 0.99998802 0.00013183 -0.29530016 0.23153505 -87.29491030 0.02947094 0.55887828 0.18356323
2408.66199105 1.00033766 0.00013185 -0.20658538 0.01434145 -88.98828669 0.03260665 0.48605734 0.18356323
2408.66240858 1.00026283 0.00013185 -0.56085753 0.08978878 -90.68879495 0.03502846 0.52834704 0.20352173
2408.66282611 1.00025332 0.00013186 -0.22008482 0.57470739 -92.39765420 0.04389367 0.49950241 0.19354248
