#time			flux		fluxerr		x			bg		roll		contam			bg			smear
2314.70073271 1.00043188 0.00032612 -0.60121650 0.00001549 307.95511476 -0.06457157 -0.01455688 0.00123889
2314.70142744 1.00031204 0.00032610 -0.63884252 0.00001538 303.76490402 -0.04529157 -0.03424072 0.00121944
2314.70212217 1.00003042 0.00032606 -0.44722674 0.00001546 299.48568372 -0.13714343 -0.05389404 0.00158995
2314.70281689 0.99978950 0.00032602 -0.70985333 0.00001550 295.12368577 0.08111478 0.02487183 0.00086312
2314.70351162 0.99948349 0.00032597 -0.56976151 0.00001613 290.69015447 -0.00205178 -0.00473022 0.00105051
2314.70420635 0.99941011 0.00032596 -0.14382620 0.00001554 286.20457730 -0.06243897 -0.01455688 0.00128454
2314.70490108 0.99977474 0.00032602 0.09109535 0.00001545 281.68706214 0.04337618 -0.01455688 0.00082962
2314.70559581 0.99946008 0.00032596 0.33092965 0.00001564 277.15770781 -0.18293378 -0.03424072 0.00165958
2314.70629052 0.99952086 0.00032597 0.71636947 0.00001540 272.63669542 -0.01451803 0.02487183 0.00104234
2314.70698525 1.00016207 0.00032608 0.39427024 0.00001536 268.14303904 -0.13501846 -0.05389404 0.00150289
2314.70767998 0.99997255 0.00032605 -0.11082883 0.00001543 263.69227626 -0.00869722 0.00515747 0.00113054
2314.70837471 0.99938415 0.00032595 0.15913800 0.00001540 259.29896826 -0.14290328 -0.00473022 0.00155076
2314.70906943 0.99975668 0.00032601 0.13681743 0.00001547 254.97773915 0.05756588 -0.01455688 0.00076176
2314.70976416 0.99936135 0.00032595 0.02592718 0.00001525 250.74300472 0.00865584 -0.01455688 0.00099994
2314.71045888 1.00054945 0.00032614 -0.08066306 0.00001530 246.60860700 -0.20015755 0.00515747 0.00178043
2314.71115361 1.00010054 0.00032607 0.05637485 0.00001523 242.57947085 -0.07087722 -0.01455688 0.00128037
2314.71184834 1.00014888 0.00032608 0.16399262 0.00001511 238.65492111 -0.08431887 -0.05389404 0.00123567
2314.71254306 0.99917774 0.00032592 -0.29643421 0.00001543 234.83426399 -0.11450514 0.02487183 0.00147268
2314.71323779 1.00010334 0.00032607 -0.13268204 0.00001528 231.11661401 -0.13972428 0.03475952 0.00148704
2314.71393252 0.99977825 0.00032602 -0.16641172 0.00001533 227.50122861 -0.03465250 -0.03424072 0.00115470
2314.71462725 1.00005493 0.00032606 -0.35115013 0.00001538 223.98481330 0.02556897 -0.01455688 0.00094007
2314.71532196 0.99996242 0.00032605 0.09423835 0.00001542 220.56036269 -0.19063709 -0.01455688 0.00166476
2314.71601669 1.00023211 0.00032609 0.61580015 0.00001522 217.22039543 -0.07921499 -0.01455688 0.00125707
2314.71671142 1.00002385 0.00032606 0.13606040 0.00001526 213.95759613 -0.03458219 -0.01455688 0.00115519
2314.71740615 1.00015161 0.00032608 0.63960412 0.00001566 210.76459808 -0.13803422 0.00515747 0.00153585
2314.71810088 0.99964941 0.00032600 0.38406243 0.00001524 207.63384590 -0.26738687 0.03472900 0.00194242
2314.71879560 0.99996594 0.00032605 0.66238523 0.00001535 204.55713913 -0.06688428 -0.01455688 0.00115212
2314.71949033 1.00004261 0.00032606 0.64174513 0.00001519 201.52595438 -0.10270102 -0.01455688 0.00128643
2314.72018505 0.99962683 0.00032599 0.38002338 0.00001522 198.53191883 -0.04350091 -0.00473022 0.00108958
2314.72087978 1.00007095 0.00032606 0.43607479 0.00001538 195.56661371 -0.13651970 -0.03424072 0.00144424
2314.72157451 0.99953898 0.00032598 0.42129514 0.00001545 192.62162002 0.02761469 -0.03424072 0.00086935
2314.72226923 0.99955003 0.00032598 0.07168228 0.00001556 189.68863958 0.04291974 0.00515747 0.00079249
2314.72296396 0.99952855 0.00032598 -0.23855367 0.00001562 186.75926116 -0.13612290 -0.02441406 0.00147508
2314.72365869 0.99969258 0.00032600 -0.47160538 0.00001566 183.82522765 -0.03052658 -0.01455688 0.00111775
2314.72435342 0.99998674 0.00032605 -0.01336728 0.00001567 180.87822681 -0.06684080 -0.01455688 0.00125436
2314.72504815 0.99970298 0.00032600 -0.19235938 0.00001577 177.90995188 -0.04316151 0.04461670 0.00120480
2314.72574286 1.00010454 0.00032607 0.04384717 0.00001633 174.91211890 -0.01490000 -0.03424072 0.00102376
2314.72643759 0.99973974 0.00032601 0.13765490 0.00001606 171.87626505 0.02197306 -0.04406738 0.00086067
2314.72713232 0.99935382 0.00032595 -0.42195101 0.00001648 168.79407547 0.00862354 0.04461670 0.00100141
2314.72782705 0.99940108 0.00032596 -0.01088392 0.00001677 165.65718053 -0.25856462 -0.00473022 0.00191728
2314.72852177 0.99978044 0.00032602 0.06953048 0.00001930 162.45727138 -0.04180262 -0.03424072 0.00113057
