#time			flux		fluxerr		x			y		roll		contam			bg			smear
2256.31179819 0.99974093 0.00032583 0.20486457 -0.82093397 347.46817962 0.01680482 0.00001572 0.00079317
2256.31249298 1.00001748 0.00032587 0.37802258 -0.58563002 344.07026761 -0.19248609 0.00001565 0.00144816
2256.31318778 0.99960027 0.00032581 -0.07365009 -0.54564941 340.66879001 -0.08912534 0.00001572 0.00117932
2256.31388256 1.00103076 0.00032604 -0.23045392 -0.00792040 337.26020967 0.00516623 0.00001555 0.00089227
2256.31457735 0.99998032 0.00032587 -0.17966019 0.26715632 333.84097197 -0.09316421 0.00001561 0.00116480
2256.31527215 1.00002171 0.00032587 0.08217104 0.01845794 330.40770859 0.01649709 0.00001575 0.00079412
2256.31596694 1.00059066 0.00032597 -0.20978353 0.12595250 326.95698739 -0.07235380 0.00001544 0.00115613
2256.31735653 0.99956438 0.00032580 0.18952672 -0.00871000 319.98982425 -0.14396214 0.00001553 0.00131295
2256.31805132 1.00033188 0.00032593 -0.44485685 -0.32345769 316.46821505 -0.24476919 0.00001554 0.00180053
2256.31874611 1.00035295 0.00032593 -0.00641646 0.13385223 312.91867774 -0.03554000 0.00001577 0.00090660
2256.31944090 1.00001604 0.00032587 -0.47052986 -0.54198804 309.33916045 -0.14807206 0.00001627 0.00146734
2256.32013569 0.99982044 0.00032584 -0.55076191 -0.46524063 305.72778982 -0.14224994 0.00001656 0.00145302
2256.32083049 0.99954221 0.00032580 -0.59503313 -0.52274005 302.08286773 -0.16519642 0.00001634 0.00150964
2256.32152528 0.99920249 0.00032574 -0.47832651 -0.53300154 298.40447367 -0.11208559 0.00001704 0.00140770
2256.32222008 1.00014387 0.00032589 -0.49634047 -0.38391484 294.69347165 -0.17907060 0.00001751 0.00160112
2256.32291487 0.99948643 0.00032579 -0.54918939 -0.50742267 290.95073694 -0.15840493 0.00002326 0.00152857
2256.32360966 0.99934390 0.00032576 -0.13198657 -0.92762051 287.17720067 0.05145787 0.00002788 0.00083926
2256.32499924 0.99997831 0.00032587 0.56379184 -0.39507857 279.54255296 -0.22549198 0.00003280 0.00171800
2256.34653782 1.00006938 0.00032588 0.41563649 0.62993588 165.73591341 -0.30321807 0.00004148 0.00189528
2256.34723261 0.99954338 0.00032580 0.31716535 0.70561592 162.36261311 -0.24411817 0.00003517 0.00170717
2256.34792741 0.99970197 0.00032582 0.54623384 -0.09024842 158.98329212 -0.14550757 0.00002988 0.00139186
2256.34862220 0.99918844 0.00032574 0.13124127 -0.29178688 155.59430116 -0.11381028 0.00002621 0.00128766
2256.34931699 0.99911552 0.00032573 -0.11548352 0.01282215 152.19205323 0.12331082 0.00002379 0.00046294
2256.35001178 0.99884800 0.00032568 -0.05288692 0.20406799 148.77279065 0.06296478 0.00002178 0.00055228
2256.35070657 0.99955322 0.00032580 -0.09144359 0.27322218 145.33319108 -0.09222442 0.00002066 0.00114494
