#time			flux		fluxerr		x			y		roll		contam			deltaT			smear
2264.63196141 0.99935682 0.00032578 -0.36764708 -0.43963579 300.05408955 -0.13148248 -0.21023560 0.00158305
2264.63265620 1.00000172 0.00032589 -0.58920619 -0.33029630 296.41758306 -0.12458422 -0.21023560 0.00159134
2264.63335098 0.99997469 0.00032588 -0.34411749 -0.45552418 292.76828653 -0.05076086 -0.20050049 0.00131544
2264.63404577 0.99948486 0.00032580 -0.40328445 -0.48587500 289.10615760 -0.20577722 -0.20050049 0.00190874
2264.63474055 0.99950917 0.00032581 0.05733862 -0.42313500 285.43182892 -0.03990560 -0.22967529 0.00127618
2264.63543532 0.99939671 0.00032579 0.57194241 -0.27378547 281.74604500 -0.17237974 -0.21023560 0.00165626
2264.63613011 0.99999202 0.00032588 0.46105056 -0.68278073 278.04937023 -0.06752855 -0.22967529 0.00135764
2264.63682489 0.99959556 0.00032582 0.20018539 -0.44246293 274.34255448 -0.12917794 -0.21023560 0.00161045
2264.63751968 0.99953696 0.00032581 0.27746795 -0.25183997 270.62643703 -0.14910838 -0.24908447 0.00151869
2264.65697361 1.00073157 0.00032600 -0.00859137 0.63335637 168.28488419 -0.03126319 -0.22967529 0.00108431
2264.65766839 1.00013746 0.00032591 0.27475333 0.11611988 164.75740835 -0.01438753 -0.21997070 0.00101532
2264.65836317 0.99932260 0.00032577 0.27225120 -0.23299306 161.23088033 -0.17235242 -0.23941040 0.00167710
2264.65905796 0.99998667 0.00032588 0.40648749 -0.11481311 157.70366117 -0.14571989 -0.21023560 0.00152087
2264.65975274 0.99991861 0.00032587 0.12680887 0.01126415 154.17412581 -0.11809606 -0.22967529 0.00142708
2264.66044753 0.99972494 0.00032584 -0.12194155 0.16675854 150.64073572 0.08686135 -0.22967529 0.00071292
2264.66114230 0.99982520 0.00032586 0.11861455 0.27573401 147.10202346 -0.06060345 -0.22967529 0.00112495
2264.66183709 0.99999828 0.00032588 -0.24392961 -0.49499374 143.55635053 -0.15839399 -0.21997070 0.00164323
2264.66253187 1.00033119 0.00032594 0.03307268 -0.63832707 140.00224936 0.05372469 -0.25878906 0.00093365
2264.66322666 0.99958761 0.00032582 0.05866289 -0.13632320 136.43823671 -0.19595999 -0.22967529 0.00177660
2264.66392144 0.99998026 0.00032588 0.11391610 -0.48250826 132.86324414 -0.10899669 -0.22967529 0.00145216
2264.66461623 0.99894947 0.00032571 0.30795819 -0.03499858 129.27645017 -0.09709527 -0.22967529 0.00134723
2264.66531101 0.99968082 0.00032583 -0.04336009 0.36266649 125.67704446 0.02165692 -0.24908447 0.00092205
2264.66600578 0.99949495 0.00032580 -0.42459262 0.04799171 122.06427000 -0.06016179 -0.21023560 0.00132519
2264.66670057 0.99970018 0.00032584 0.81438439 0.86440448 118.43720377 -0.30085661 -0.20050049 0.00195133
2264.66739535 0.99945652 0.00032580 0.38526771 0.54483073 114.79553521 -0.19186544 -0.23941040 0.00179930
